,ingredient,uses,warnings,before_taking,Side Effects
0,Abilify,"Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain. Abilify is used to treat the symptoms of psychotic conditions including schizophrenia in adults and children at least 13 years old. Abilify is also used alone or with a mood stabilizer medicine to treat bipolar I disorder (manic depression) in adults and children at least 10 years old. Abilify is used with antidepressant medication to treat major depressive disorder in adults. Abilify is also used in children at least 6 years old to treat Tourette's disorder and to treat symptoms related to autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).","Abilify is not approved for use in older adults with dementia -related psychosis. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide. Stop using Abilify and call your doctor at once if you have the following symptoms: fever with stiff muscles and rapid heart rate; uncontrolled muscle movements; symptoms that come on suddenly such as numbness or weakness, severe headache, and problems with vision, speech, or balance. If you also use antidepressant medicine, do not stop using it suddenly.","You should not take Abilify if you are allergic to aripiprazole. Abilify may increase the risk of death in older adults with dementia-related psychosis and is not approved for this use. To make sure this medicine is safe for you, tell your doctor if you have: heart problems or a stroke; high or low blood pressure ; diabetes (in you or a family member); seizures ; or low white blood cell (WBC) counts. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. The liquid form (oral solution) of this medication contains sugar. Before taking Abilify oral solution, tell your doctor if you have diabetes. Aripiprazole can cause high blood sugar (hyperglycemia). If you are diabetic, check your blood sugar levels carefully. The orally disintegrating tablet form of this medication may contain over 3 milligrams of phenylalanine per tablet. Before taking Abilify Discmelt, tell your doctor if you have phenylketonuria (PKU). Taking antipsychotic medicine in the last 3 months of pregnancy may cause serious problems in the newborn . Tell your doctor right away if you get pregnant. Do not stop the medicine without your doctor's advice. If you are pregnant, your name may be listed on a pregnancy registry to track the effects of aripiprazole on the baby. Ask a doctor if it is safe to breastfeed while using this medicine.","Get emergency medical help if you have signs of an allergic reaction to Abilify: hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: severe agitation , distress, or restless feeling; twitching or uncontrollable movements of your eyes, lips, tongue, face, arms, or legs; mask-like appearance of the face, trouble swallowing, problems with speech; seizure (convulsions); severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out; low blood cell counts - fever, chills, sore throat , weakness, easy bruising, unusual bleeding, purple or red spots under your skin; or high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. The most common side effects of Abilify may include: blurred vision; increased saliva or drooling ; muscle stiffness; uncontrolled muscle movements, shaking, anxiety, feeling restless; weight gain; nausea , vomiting, constipation ; increased or decreased appetite; headache , dizziness, drowsiness, feeling tired; sleep problems ( insomnia ); or cold symptoms such as stuffy nose, sneezing, sore throat; This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
1,Abilify Asimtufii,"Abilify Asimtufii is an atypical antipsychotic used for schizophrenia and bipolar I disorder in adults, Abilify Asimtufii is an extended-release injection that is given once every two months. The exact way in which  Abilify Asimtufii works (mechanism of action) to treat schizophrenia and bipolar I disorder is not known, but it is thought to work by balancing the levels of serotonin and dopamine in the brain. Abilify ( aripiprazole ) is also available as Abilify (oral tablets), Abilify MyCite (tablet embedded with an ingestible sensor), and Abilify Maintena (extended-release injection for administration once every month). Abilify Asimtufii is a longer-acting slow-release injection that is given every two months, this helps compliance and means patients only need 6 injections per year.","Abilify Asimtufii is not approved for use in older adults with dementia -related psychosis. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior or thoughts about suicide. Do not stop using aripiprazole suddenly, or you could have unpleasant withdrawal symptoms. Avoid driving and doing other tasks or actions that call for you to be alert or have clear eyesight until you see how aripiprazole affects you. High blood sugar or diabetes, high cholesterol, and weight gain have happened with drugs like this one. These may raise the chance of heart and brain blood vessel disease. Low white blood cell counts have happened with drugs like this one. This may lead to a higher chance of infection. Rarely, infections have been deadly. Tell your doctor if you have ever had a low white blood cell count. Call your doctor right away if you have signs of infection like fever, chills, or sore throat.","You should not take this medicine if you are allergic to the active ingredient aripiprazole or any of the inactive ingredients. This medicine may increase the risk of death in older adults with dementia-related psychosis and is not approved for this use. To make sure Abilify Asimtufii is safe for you, tell your doctor if you have: People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting medicine to treat depression. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. This medicine can cause high blood sugar (hyperglycemia). If you are diabetic, check your blood sugar levels carefully. Pregnancy Tell your healthcare provider if you are pregnant or plan to become pregnant. This medicine may harm your unborn baby. Receiving this medicine during your third trimester of pregnancy may cause your baby to have abnormal muscle movements or withdrawal symptoms after birth. Talk to your healthcare provider about the risk to your unborn baby if you receive this medicine during pregnancy. Do not stop the medicine without your doctor's advice. Tell your healthcare provider right away if you become pregnant or think that you are pregnant during treatment. If you become pregnant during treatment, talk to your healthcare provider about registering with the National Pregnancy Registry for Atypical Antipsychotics. You can register by calling 1-866-961-2388 or visit http://womensmentalhealth.org/clinical-and-research-programs/pregnancyregistry/. Breastfeeding Tell your healthcare provider if you are breastfeeding or plan to breastfeed. This medicine can pass into your breast milk, and it is not known if it may harm your baby. Talk to your healthcare provider about the best way to feed your baby during treatment.","Get emergency medical help if you have signs of an allergic reaction to aripiprazole: hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. Common Abilify Asimtufii side effects may include: This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
2,Abilify Maintena,"Abilify Maintena (aripiprazole) extended-release injection is used alone or in combination with other aripiprazole preparations to treat schizophrenia (a mental illness that causes disturbed or unusual thinking, loss of interest in life, and strong or inappropriate emotions). Abilify Maintena is also used for the ongoing treatment of people with bipolar I disorder (manic-depressive disorder; a disease that causes episodes of depression, episodes of mania, and other abnormal moods) Abilify Maintena belongs to a class of medications called atypical antipsychotics. It works by changing the activity of certain natural substances in the brain. Abilify Maintena is an extended-release injectable suspension of aripiprazole that only has to be given once a month.",Abilify Maintena is not approved for use in older adults with psychotic conditions related to dementia. Aripiprazole may increase the risk of death in older adults with dementia-related psychosis.,"You should not be treated with Abilify Maintena if you are allergic to aripiprazole. Tell your doctor if you have never taken Abilify Maintena. Abilify Maintena may increase the risk of death in older adults with dementia-related psychosis and is not approved for this use. To make sure Abilify Maintena is safe for you, tell your doctor if you have ever had: a problem in receiving an injection in the arm or buttocks; heart disease , a heart attack or stroke; high or low blood pressure ; high blood sugar, diabetes (in you or family member); a seizure; high cholesterol or triglycerides; dehydration ; or low white blood cell (WBC) counts. Using antipsychotic medicine in the last 3 months of pregnancy may cause serious problems in the newborn . Tell your doctor right away if you get pregnant. Do not stop the medicine without your doctor's advice. If you are pregnant, your name may be listed on a pregnancy registry to track the effects of aripiprazole on the baby. Ask a doctor if it is safe to breastfeed while using this medicine.","Get emergency medical help if you have signs of an allergic reaction : hives, difficult breathing, swelling of your face, lips, tongue, or throat. High doses or long-term use of aripiprazole can cause a serious movement disorder that may not be reversible. The longer you use Abilify Maintena, the more likely you are to develop this disorder, especially if you are a woman or an older adult. You may have increased sexual urges, unusual urges to gamble, or other intense urges while using this medicine. Talk with your doctor if this occurs. Abilify Maintena may cause serious side effects. Call your doctor at once if you have: uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); feeling unusually hot or cold; trouble swallowing; a seizure; feeling like you might pass out (even while lying down); severe nervous system reaction - very stiff (rigid) muscles, high fever , sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out; low blood cell counts - fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; signs of infection - fever, chills, sore throat , body aches, unusual tiredness, loss of appetite, bruising or bleeding; or high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. Common Abilify Maintena side effects may include: feeling restless; pain where the medicine was injected; weight gain; or drowsiness. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
3,Abiraterone,Abiraterone works by reducing androgen production in the body. Androgens are male hormones that can promote tumor growth in the prostate gland. Abiraterone is used together with steroid medication ( prednisone or methylprednisolone ) to treat prostate cancer that has spread to other parts of the body. abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines. It is not known if abiraterone acetate tablets are safe or effective in females or children.,Abiraterone tablets should not be handled by a woman who is pregnant or who may become pregnant. This medicine can harm an unborn baby or cause miscarriage.,"Abiraterone is not for use by women or children. To make sure this medicine is safe for you, tell your doctor if you have ever had: liver disease; diabetes (especially if you use pioglitazone or repaglinide ); heart problems, high blood pressure ; a heart attack ; low levels of potassium in your blood; or problems with your adrenal gland or pituitary gland. Abiraterone can harm an unborn baby if a woman is exposed to it during pregnancy. An abiraterone tablet should not be handled by a woman who is pregnant or may become pregnant. The medicine from a broken tablet could be absorbed through the skin. Abiraterone can also harm an unborn baby if the father is taking this medicine at the time of conception or during pregnancy. Use effective birth control if your sex partner is pregnant or able to get pregnant. Keep using birth control for at least 3 weeks after your last dose.","Get emergency medical help if you have signs of an allergic reaction to abiraterone : hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: swelling in your ankles or feet, pain in your legs; fast or irregular heartbeats; a light-headed feeling, like you might pass out; severe headache , blurred vision, pounding in your neck or ears; pain or burning when you urinate; low red blood cells (anemia) - pale skin, tiredness, feeling light-headed or short of breath, cold hands and feet; low blood potassium - leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; liver problems - stomach pain (upper right side), nausea , vomiting , dark urine, jaundice (yellowing of the skin or eyes); or low blood sugar - headache, hunger, sweating, irritability, dizziness , fast heart rate , and feeling anxious or shaky. Common abiraterone side effects may include: feeling very weak or tired; feeling very hot; high blood sugar; increased blood pressure; swelling in your legs or feet; anemia, low blood potassium; painful urination; abnormal liver function tests or other blood tests; joint pain or swelling; headache; nausea, vomiting, diarrhea ; or cold symptoms such as stuffy nose, sneezing, cough, sore throat . This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
4,Acetaminophen,"Acetaminophen is a pain reliever and a fever reducer. Acetaminophen is used to treat mild to moderate pain, moderate to severe pain in conjunction with opiates, or to reduce fever. Common conditions treated include headache, muscle aches, arthritis , backache, toothaches, sore throat, colds, flu, and fevers . Acetaminophen is also available in many over-the-counter combination medications with other drugs, including Actifed, Alka-Seltzer Plus Liquid Gels, Cepacol, Contac, Coridicin, Dayquil, Dimetapp, Dristan, Excedrin, Feverall, Liquiprin, Midol, Nyquil, Panadol, Robitussin Singlet, Sinutab, Sudafed, Theraflu, Triaminic, Vanquish, Vicks, and Zicam. Acetaminophen is also found in many prescription combination drugs, including Butalbital, Endocet, Fioricet, Hycotab, Hydrocet, Hydrocodone bitartrate, Lortab, Percocet, Phenaphen, Sedapap, Tapanol, Tylenol with codeine, Tylox, Ultracet, Vicodin, and Zydone. Acetaminophen is typically used orally, but can be given intravenously.","You should not use this medication if you have severe liver disease. An overdose of acetaminophen can damage your liver or cause death. Adults and teenagers who weigh at least 110 pounds should not take more than 1000 milligrams (mg) at one time, or more than 4000 mg in 24 hours. Children younger than 12 years old should not take more than 5 doses in 24 hours, using only the number of milligrams per dose that is recommended for the child's weight and age. Use exactly as directed on the label. Avoid also using other medicines that contain acetaminophen (sometimes abbreviated as APAP), or you could have a fatal overdose. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes). Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.","You should not take acetaminophen if you are allergic to it, or if you take other medications that contain acetaminophen. Ask a doctor or pharmacist if this medicine is safe to use if you've ever had cirrhosis of the liver, or if you drink alcohol daily. Ask a doctor before using this medicine if you are pregnant or breastfeeding.","Get emergency medical help if you have signs of an allergic reaction to acetaminophen: hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal, even if you took acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. Stop taking acetaminophen and call your doctor at once if you have signs of liver problems: stomach pain (upper right side); loss of appetite; tiredness, itching; dark urine, clay-colored stools; or jaundice (yellowing of the skin or eyes). Less serious acetaminophen side effects may be more likely, and you may have none at all. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
5,Acetylcysteine,"Acetylcysteine is used to help prevent or lessen liver damage caused by taking large quantities of acetaminophen ( Tylenol ). There are other brands and forms of acetylcysteine available, and some can be purchased over the counter. Not all forms of  acetylcysteine are effective as an acetaminophen antidote. Do not attempt to treat an acetaminophen overdose without medical advice. Acetylcysteine may also be used for purposes not listed in this medication guide.","In an emergency, you may not be able to tell caregivers about your health conditions. Make sure any doctor caring for you afterward knows you received  acetylcysteine.","You should not use acetylcysteine if you are allergic to it. If possible before you receive acetylcysteine, tell your caregivers if you have ever had: a stomach ulcer ; stomach bleeding or bleeding in your esophagus ( esophageal varices ); high blood pressure , or if you are on a low-salt diet; congestive heart failure ; or kidney disease. Ask a doctor before using this medicine if you are pregnant or breastfeeding. In an emergency, you may not be able to tell caregivers if you are pregnant or breast feeding. Make sure any doctor caring for your pregnancy or your baby knows you received this medicine.","Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Acetylcysteine may cause serious side effects. Call your doctor at once if you have: severe or ongoing vomiting ; coughing up blood or vomit that looks like coffee grounds; or signs that the medicine may not be working--upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of acetylcysteine may include: nausea , vomiting, upset stomach ; rash ; or fever . This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
6,Actemra,"Actemra ( tocilizumab ) is a FDA approved biological medicine that is given by intravenous infusion or injection under the skin to treat specific patients with COVID-19, rheumatoid arthritis , giant cell arteritis , scleroderma , polyarticular or systemic juvenile idiopathic arthritis, and severe cytokine release syndrome . Actrema was FDA approved to treat COVID-19 on December 21, 2022, for specific adult patients. Pediatric patients (aged 2 years to 18 years) with COVID-19 still have access to Actrema under emergency use authorization (EUA). Actrema is a monoclonal antibody that blocks a protein in your body called interleukin-6 (IL-6).  If this protein is activated, it causes your immune system to be overactive which results in inflammation and the signs and symptoms of autoimmune disease. As Actrema blocks the interleukin-6 receptor, this is how it is thought to reduce the immune system from being overactive, so there is less inflammation and a reduction in the signs and symptoms of autoimmune diseases. At a more technical level the mode of action (MOA) of Actrema is that it binds to IL-6 receptors (sIL-6R and mIL-6R) which have been shown to inhibit IL-6-mediated signaling through these receptors. Interleukin-6 is a pro-inflammatory cytokine that is made by a variety of cell types including T- and B-cells, lymphocytes, monocytes and fibroblasts. Actemra can be used with other medications as part your complete treatment.","Actemra affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever , chills, aches, tiredness, cough, skin sores, diarrhea , weight loss , or burning when you urinate. Actemra may also cause a perforation (a hole or tear) in your stomach or intestines. Tell your doctor if you have a fever and stomach pain with a change in your bowel habits. Actemra may also cause liver problems. Tell your doctor right away if you have right-sided stomach pain, vomiting , loss of appetite, tiredness, dark urine, clay-colored stools, or yellowing of your skin or eyes. Before you start treatment with Actemra, your doctor may perform tests to make sure you do not have tuberculosis or other infections. While using Actemra, you may need frequent medical tests.","You should not use Actemra if you are allergic to Actemra. Tell your doctor if you have any signs of infection such as fever, chills, cough, body aches, tiredness, open sores or skin wounds, diarrhea, stomach pain, weight loss, painful urination, or coughing up blood. Tell your doctor if you've had or been exposed to tuberculosis , or if you recently traveled. Some infections are more common in certain parts of the world, and you may have been exposed during travel. To make sure Actemra is safe for you, tell your doctor if you have: an active or chronic infection; liver disease; diverticulitis , ulcers in your stomach or intestines; a nerve-muscle disease such as multiple sclerosis ; diabetes; HIV , or a weak immune system; hepatitis B (or if you are a carrier of the virus); cancer; or if you have received or are scheduled to receive any vaccines. Using Actemra may increase your risk of developing certain types of cancer. Ask your doctor about this risk. Tell your doctor if you are pregnant or breastfeeding. If you are pregnant: Tell your baby's doctor if you used Actemra during pregnancy. It could affect your baby's vaccination schedule during the first months of life. Your name may be listed on a pregnancy registry to track the effects of tocilizumab on the baby.","Get emergency medical help if you have signs of an allergic reaction to Actemra: hives ; chest pain, difficulty breathing, feeling like you might pass out; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe stomach cramps, bloating , diarrhea or constipation ; unusual bleeding - nosebleeds, bleeding gums, abnormal vaginal bleeding, any bleeding that will not stop, blood in your urine or stools, coughing up blood or vomit that looks like coffee grounds; liver problems - loss of appetite, right-sided stomach pain, vomiting, confusion, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); signs of infection - fever, chills, aches, skin sores, diarrhea, burning when you urinate; signs of tuberculosis: cough, shortness of breath, night sweats, loss of appetite, weight loss, and feeling very tired; or signs of perforation (a hole or tear) in your stomach or intestines - fever, ongoing stomach pain, change in bowel habits. Common Actemra side effects may include: runny or stuffy nose, sinus pain, sore throat ; headache ; increased blood pressure; abnormal liver function tests; or pain, swelling, burning, or irritation where an injection was given. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
7,Actos,Actos is an oral diabetes medicine that helps control blood sugar levels. Actos is used together with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus . Actos is not for treating type 1 diabetes .,"You should not use Actos if you have severe or uncontrolled heart failure, active bladder cancer, or diabetic ketoacidosis (call your doctor for treatment with insulin). This medicine is not for treating type 1 diabetes. Actos can cause or worsen congestive heart failure. Stop using this medicine and call your doctor at once if you have shortness of breath (even with mild exertion), swelling, or rapid weight gain.","You should not use Actos if you are allergic to pioglitazone, or if you have: severe or uncontrolled heart failure; or diabetic ketoacidosis (call your doctor for treatment). This medication may increase your risk of developing bladder cancer. Talk with your doctor about your specific risk. To make sure Actos is safe for you, tell your doctor if you have ever had: congestive heart failure or heart disease; a heart attack or stroke; eye problems caused by diabetes; bladder cancer; or liver disease. Actos may increase your risk of serious heart problems, but not treating your diabetes can also damage your heart and other organs. Talk to your doctor about the risks and benefits of this medicine. Follow your doctor's instructions about using Actos if you are pregnant or you become pregnant. Controlling diabetes is very important during pregnancy, and having high blood sugar may cause complications in both the mother and the baby. Pioglitazone may stimulate ovulation in a premenopausal woman and may increase the risk of unintended pregnancy. Talk to your doctor about your risk. Women may be more likely to have a broken bone while using Actos. Talk with your doctor about ways to keep your bones healthy. It may not be safe to breastfeed while using this medicine. Ask your doctor about any risk. Actos is not approved for use by anyone younger than 18 years old.","Get emergency medical help if you have signs of an allergic reaction to Actos : hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Actos and call your doctor at once if you have symptoms of liver damage : nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of the skin or eyes). Call your doctor at once if you have: shortness of breath (especially when lying down), unusual tiredness, swelling, rapid weight gain; pink or red urine, painful or difficult urination, new or worsening urge to urinate; changes in your vision; or sudden unusual pain in your hand, arm, or foot. Some people taking this medicine have had bladder cancer, but it is not clear if pioglitazone was the actual cause. Common Actos side effects may include: headache; muscle pain; or cold symptoms such as stuffy nose, sinus pain, sneezing, sore throat . This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
8,Acyclovir,"Acyclovir is an antiviral drug. It slows the growth and spread of the herpes virus in the body. Acyclovir will not cure herpes, but it can lessen the symptoms of the infection . Acyclovir is used to treat infections caused by herpes viruses, such as genital herpes, cold sores , shingles , and chicken pox. Sitavig buccal tabets are for use in treating only cold sores on the lips. Sitavig will not treat genital herpes. Acyclovir may also be used for purposes not listed in this medication guide.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","You should not take acyclovir if you are allergic to acyclovir or valacyclovir ( Valtrex ). You should not take Sitavig buccal tablets if you are allergic to milk proteins. Tell your doctor if you have ever had: kidney disease; or a weak immune system (caused by disease or by using certain medicine). Tell your doctor if you are pregnant or breastfeeding. Herpes can be passed to your baby during childbirth if you have a genital lesion when your baby is born. If you have genital herpes, it is very important to prevent herpes lesions during pregnancy. Take your medicine as directed to best control your infection. It may not be safe to breastfeed while using this medicine. Ask your doctor about any risk. Acyclovir should not be given to a child younger than 2 years old.","Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Acyclovir may cause serious side effects. Call your doctor at once if you have: easy bruising or bleeding, purple or red pinpoint spots under your skin; changes in behavior; confusion, hallucinations; or signs of a kidney problem--little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath. Common side effects of acyclovir may include: mild skin pain; rash, itching; nausea , vomiting , diarrhea ; headache ; or mouth pain while using an acyclovir buccal tablet. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
9,Adderall,Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Adderall may also be used for purposes not listed in this medication guide.,"Adderall may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse. Stimulants have caused stroke, heart attack, and sudden death in people with high blood pressure, heart disease, or a heart defect. Do not use this medicine if you have used a MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, or tranylcypromine or have received a methylene blue injection. Adderall may cause new or worsening psychosis (unusual thoughts or behavior), especially if you have a history of depression, mental illness, or bipolar disorder. You may have blood circulation problems that can cause numbness, pain, or discoloration in your fingers or toes. Call your doctor right away if you have: signs of heart problems - chest pain, feeling light-headed or short of breath; signs of psychosis - paranoia, aggression, new behavior problems, seeing or hearing things that are not real; signs of circulation problems - unexplained wounds on your fingers or toes. You may not be able to use Adderall if you have glaucoma, overactive thyroid, severe agitation, moderate to severe high blood pressure, heart disease or coronary artery disease, vascular disease, or a history of drug or alcohol addiction.","Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, tranylcypromine, and others. You may not be able to use Adderall if you are allergic to any stimulant medicine. You may not be able to use Adderall if you have: Some medicines can interact with amphetamine and dextroamphetamine and cause a serious condition called serotonin syndrome. Tell your doctor about any other medications you are using. Be sure your doctor knows if you also take opioid medicine, herbal products, or medicine for depression, mental illness, Parkinson's disease, migraine headaches, serious infections, or prevention of nausea and vomiting. Ask your doctor before making any changes in how or when you take your medications. Symptom of serotonin syndrome may include agitation, hallucinations (hearing or seeing things that are not real), coma, fast heart rate, dizziness, sweating, feeling hot, muscle rigidity or shakiness, seizures, nausea, vomiting, or diarrhea. Stop Adderall immediately if you experience these symptoms. Stimulants have caused stroke, heart attack, and sudden death in certain people. Tell your doctor if you have: heart problems or a congenital heart defect; high blood pressure; or a family history of heart disease or sudden death. To make sure Adderall is safe for you, tell your doctor if you or anyone in your family has ever had: depression, anxiety, mental illness, bipolar disorder, psychosis, problems with aggression, or suicidal thoughts or actions; motor tics (muscle twitches) or Tourette's syndrome; seizures or epilepsy; an abnormal brain wave test (EEG); or liver or kidney disease; or blood circulation problems in the hands or feet. Taking Adderall during pregnancy can cause premature birth, low birth weight, or withdrawal symptoms in the newborn baby. Tell your doctor if you are pregnant or plan to become pregnant. The medications in Adderall (amphetamine and dextroamphetamine) can pass into breast milk and may harm a nursing baby. You should not breast-feed while you are using this medicine. Adderall is not approved for use by anyone younger than 3 years old.","Get emergency medical help if you have signs of an allergic reaction to Adderall : hives; difficult breathing; swelling of your face, lips, tongue, or throat. Adderall may cause serious side effects. Call your doctor at once if you have: Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Adderall can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common side effects of Adderall may include: This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
