,0,1
0,Abilify,/abilify.html
1,Abilify Asimtufii,/abilify-asimtufii.html
2,Abilify Maintena,/abilify-maintena.html
3,Abiraterone,/abiraterone.html
4,Acetaminophen,/acetaminophen.html
5,Acetylcysteine,/mtm/acetylcysteine.html
6,Actemra,/actemra.html
7,Actos,/actos.html
8,Acyclovir,/acyclovir.html
9,Adderall,/adderall.html
10,Adderall XR,/mtm/adderall-xr.html
11,Advair Diskus,/mtm/advair-diskus.html
12,Advil,/advil.html
13,Afinitor,/afinitor.html
14,Agamree,/agamree.html
15,Aimovig,/aimovig.html
16,Ajovy,/ajovy.html
17,Albuterol,/albuterol.html
18,Aldactone,/aldactone.html
19,Alecensa,/alecensa.html
20,Alendronate,/mtm/alendronate.html
21,Aleve,/aleve.html
22,Alfuzosin,/mtm/alfuzosin.html
23,Allegra,/allegra.html
24,Allopurinol,/allopurinol.html
25,Alprazolam,/alprazolam.html
26,Alprolix,/alprolix.html
27,Alunbrig,/alunbrig.html
28,Amantadine,/amantadine.html
29,Ambien,/ambien.html
30,Ambroxol,/ambroxol.html
31,Amiodarone,/amiodarone.html
32,Amitriptyline,/amitriptyline.html
33,Amlodipine,/amlodipine.html
34,Amoxicillin,/amoxicillin.html
35,Amoxicillin and Clavulanate,/amoxicillin_clavulanate.html
36,Anastrozole,/mtm/anastrozole.html
37,AndroGel,/androgel.html
38,Annovera,/annovera.html
39,Apalutamide,/apalutamide.html
40,Apixaban,/mtm/apixaban.html
41,Apokyn,/apokyn.html
42,Apriso,/apriso.html
43,Aptiom,/aptiom.html
44,Aricept,/aricept.html
45,Arikayce,/arikayce.html
46,Arimidex,/arimidex.html
47,Aripiprazole,/aripiprazole.html
48,Aristada,/aristada.html
49,Aromasin,/aromasin.html
50,Ascorbic acid,/mtm/ascorbic-acid.html
51,Aspirin,/aspirin.html
52,Atarax,/atarax.html
53,Atenolol,/atenolol.html
54,Ativan,/ativan.html
55,Atogepant,/atogepant.html
56,Atomoxetine,/atomoxetine.html
57,Atorvastatin,/atorvastatin.html
58,Aubagio,/aubagio.html
59,Augmentin,/augmentin.html
60,Austedo,/austedo.html
61,Auvelity,/auvelity.html
62,Avonex,/avonex.html
63,Avsola,/avsola.html
64,Azathioprine,/mtm/azathioprine.html
65,Azelastine,/pro/azelastine.html
66,Azilect,/azilect.html
67,Azithromycin,/azithromycin.html
68,Azulfidine,/mtm/azulfidine.html
69,Bacitracin,/pro/bacitracin.html
70,Bacitracin topical,/mtm/bacitracin-topical.html
71,Baclofen,/baclofen.html
72,Bactrim,/bactrim.html
73,Bactroban,/bactroban.html
74,Balsalazide,/mtm/balsalazide.html
75,Banzel,/banzel.html
76,Baqsimi,/baqsimi.html
77,Basaglar,/basaglar.html
78,Bavencio,/bavencio.html
79,Belbuca,/belbuca.html
80,Belsomra,/belsomra.html
81,Benadryl,/benadryl.html
82,Benazepril,/mtm/benazepril.html
83,Bendeka,/mtm/bendeka.html
84,Benicar,/benicar.html
85,Benlysta,/benlysta.html
86,Bentyl,/bentyl.html
87,Benzonatate,/benzonatate.html
88,Benztropine,/mtm/benztropine.html
89,Berinert,/berinert.html
90,Betadine,/mtm/betadine.html
91,Betamethasone,/betamethasone-topical.html
92,Betaseron,/betaseron.html
93,Bevacizumab,/bevacizumab.html
94,Beyfortus,/beyfortus.html
95,Bicalutamide,/bicalutamide.html
96,Biktarvy,/biktarvy.html
97,Biotin,/mtm/biotin.html
98,Bisacodyl,/pro/bisacodyl.html
99,Bisoprolol,/bisoprolol.html
100,Blincyto,/blincyto.html
101,Boniva,/boniva.html
102,Botox,/botox.html
103,Breo Ellipta,/breo-ellipta.html
104,Brexpiprazole,/mtm/brexpiprazole.html
105,Breyanzi,/breyanzi.html
106,Breztri Aerosphere,/breztri-aerosphere.html
107,Brilinta,/brilinta.html
108,Brimonidine,/pro/brimonidine.html
109,Briumvi,/briumvi.html
110,Briviact,/briviact.html
111,Brukinsa,/brukinsa.html
112,Bryhali,/bryhali.html
113,Budesonide,/mtm/budesonide.html
114,Budesonide and formoterol,/cons/budesonide-and-formoterol.html
115,Bumetanide,/pro/bumetanide.html
116,Bumex,/pro/bumex.html
117,Bunavail,/bunavail.html
118,Bupivacaine,/mtm/bupivacaine.html
119,Buprenex,/buprenex.html
120,Buprenorphine,/buprenorphine.html
121,Buprenorphine/naloxone,/cons/buprenorphine-naloxone.html
122,Bupropion,/bupropion.html
123,Buspar,/buspar.html
124,Buspirone,/buspirone.html
125,Bystolic,/bystolic.html
126,Cabenuva,/cabenuva.html
127,Cabometyx,/cabometyx.html
128,Calcitriol,/mtm/calcitriol.html
129,Calcium carbonate,/mtm/calcium-carbonate.html
130,Calquence,/calquence.html
131,Canasa,/canasa.html
132,Candesartan,/mtm/candesartan.html
133,Caplyta,/caplyta.html
134,Carbamazepine,/carbamazepine.html
135,Carbidopa and levodopa,/mtm/carbidopa-and-levodopa.html
136,Carvedilol,/carvedilol.html
137,Carvykti,/carvykti.html
138,Casodex,/casodex.html
139,Cefdinir,/mtm/cefdinir.html
140,Cefixime,/cefixime.html
141,Ceftriaxone,/pro/ceftriaxone.html
142,Cefuroxime,/monograph/cefuroxime.html
143,Celebrex,/celebrex.html
144,Celecoxib,/celecoxib.html
145,Celexa,/celexa.html
146,Cephalexin,/cephalexin.html
147,Cequa,/cequa.html
148,Cetirizine,/cetirizine-hcl.html
149,Chlorpheniramine,/mtm/chlorpheniramine.html
150,Chlorthalidone,/mtm/chlorthalidone.html
151,Cholecalciferol,/mtm/cholecalciferol.html
152,Cialis,/cialis.html
153,Cilostazol,/mtm/cilostazol.html
154,Cimzia,/cimzia.html
155,Cinryze,/cinryze.html
156,Cipro,/cipro.html
157,Ciprofloxacin,/ciprofloxacin.html
158,Citalopram,/citalopram.html
159,Clarithromycin,/clarithromycin.html
160,Claritin,/claritin.html
161,Clindamycin,/clindamycin.html
162,Clobetasol,/clobetasol-topical.html
163,Clobex,/mtm/clobex.html
164,Clodan,/mtm/clodan.html
165,Clonazepam,/clonazepam.html
166,Clonidine,/clonidine.html
167,Clopidogrel,/mtm/clopidogrel.html
168,Clotrimazole,/mtm/clotrimazole.html
169,Codeine,/codeine.html
170,Colace,/colace.html
171,Colazal,/mtm/colazal.html
172,Colchicine,/colchicine.html
173,Concerta,/concerta.html
174,Coreg,/coreg.html
175,Cosentyx,/cosentyx.html
176,Coumadin,/coumadin.html
177,Crestor,/crestor.html
178,Cyanocobalamin,/mtm/cyanocobalamin.html
179,Cyclobenzaprine,/cyclobenzaprine.html
180,Cymbalta,/cymbalta.html
181,Dapagliflozin,/dapagliflozin.html
182,Darzalex,/darzalex.html
183,Dayvigo,/dayvigo.html
184,Decadron,/mtm/decadron.html
185,Degarelix,/degarelix.html
186,Delzicol,/delzicol.html
187,Denosumab,/denosumab.html
188,Depakote,/depakote.html
189,Descovy,/descovy.html
190,Desloratadine,/mtm/desloratadine.html
191,Desvenlafaxine,/mtm/desvenlafaxine.html
192,Desyrel,/mtm/desyrel.html
193,Detrol,/detrol.html
194,Dexamethasone,/dexamethasone.html
195,Dexilant,/mtm/dexilant.html
196,Dexlansoprazole,/mtm/dexlansoprazole.html
197,Dextroamphetamine,/mtm/dextroamphetamine.html
198,Dextromethorphan,/dextromethorphan.html
199,Dextrose,/dextrose.html
200,Diacomit,/diacomit.html
201,Diastat,/diastat-acudial.html
202,Diazepam,/diazepam.html
203,Diclofenac,/diclofenac.html
204,Dicyclomine,/mtm/dicyclomine.html
205,Diflucan,/diflucan.html
206,Digoxin,/digoxin.html
207,Dilantin,/dilantin.html
208,Dilaudid,/dilaudid.html
209,Diltiazem,/diltiazem.html
210,Diovan,/diovan.html
211,Dipentum,/mtm/dipentum.html
212,Diphenhydramine,/diphenhydramine.html
213,Diprolene,/mtm/diprolene.html
214,Divalproex,/pro/divalproex.html
215,Divalproex sodium,/mtm/divalproex-sodium.html
216,Docusate Sodium,/pro/docusate-sodium.html
217,Donepezil,/donepezil.html
218,Dopamine,/dopamine.html
219,Doxazosin,/doxazosin.html
220,Doxepin,/pro/doxepin.html
221,Doxycycline,/doxycycline.html
222,Doxycycline Hyclate,/pro/doxycycline-hyclate.html
223,Doxylamine,/mtm/doxylamine.html
224,Dramamine,/mtm/dramamine.html
225,Dulaglutide,/mtm/dulaglutide.html
226,Dulcolax,/dulcolax.html
227,Duloxetine,/duloxetine.html
228,Duopa,/duopa.html
229,Dupixent,/dupixent.html
230,Dutasteride,/mtm/dutasteride.html
231,Ecotrin,/mtm/ecotrin.html
232,Effexor,/pro/effexor.html
233,Effexor XR,/effexor.html
234,Elagolix,/elagolix.html
235,Elavil,/elavil.html
236,Eletriptan,/mtm/eletriptan.html
237,Eligard,/eligard.html
238,Eliquis,/eliquis.html
239,Emgality,/emgality.html
240,Empagliflozin,/mtm/empagliflozin.html
241,Empaveli,/empaveli.html
242,Enalapril,/enalapril.html
243,Enbrel,/enbrel.html
244,Enhertu,/enhertu.html
245,Enoxaparin,/mtm/enoxaparin.html
246,Entresto,/entresto.html
247,Entyvio,/entyvio.html
248,Enzalutamide,/enzalutamide.html
249,Epclusa,/epclusa.html
250,Epidiolex,/epidiolex.html
251,Epinephrine,/monograph/epinephrine.html
252,EpiPen,/epipen-auto-injector.html
253,Eplerenone,/mtm/eplerenone.html
254,Epoetin alfa,/mtm/epoetin-alfa.html
255,Ergocalciferol,/mtm/ergocalciferol.html
256,Erleada,/erleada.html
257,Ertapenem,/mtm/ertapenem.html
258,Erythromycin,/erythromycin.html
259,Escitalopram,/escitalopram.html
260,Esomeprazole,/mtm/esomeprazole.html
261,Estrace,/estrace.html
262,Estradiol,/estradiol.html
263,Eszopiclone,/mtm/eszopiclone.html
264,Etanercept,/etanercept.html
265,Ethambutol,/mtm/ethambutol.html
266,Etodolac,/etodolac.html
267,Eulexin,/cons/eulexin.html
268,Euthyrox,/euthyrox.html
269,Evenity,/evenity.html
270,Evista,/evista.html
271,Evkeeza,/evkeeza.html
272,Evolocumab,/evolocumab.html
273,Evusheld,/evusheld.html
274,Excedrin,/excedrin.html
275,Excedrin Migraine,/excedrin-migraine.html
276,Exemestane,/exemestane.html
277,Extavia,/extavia.html
278,Eysuvis,/eysuvis.html
279,Ezetimibe,/ezetimibe.html
280,Famotidine,/famotidine.html
281,Farxiga,/farxiga.html
282,Fasenra,/fasenra.html
283,Faslodex,/faslodex.html
284,Febuxostat,/mtm/febuxostat.html
285,Felodipine,/mtm/felodipine.html
286,Femara,/femara.html
287,Fenofibrate,/fenofibrate.html
288,Fentanyl,/fentanyl.html
289,FeroSul,/mtm/ferosul.html
290,Ferrous gluconate,/mtm/ferrous-gluconate.html
291,Ferrous Sulfate,/ferrous_sulfate.html
292,Fexofenadine,/fexofenadine.html
293,Fiasp,/fiasp.html
294,Finasteride,/finasteride.html
295,Fintepla,/fintepla.html
296,Fioricet,/fioricet.html
297,Firazyr,/firazyr.html
298,Firmagon,/firmagon.html
299,Fish Oil,/fish_oil.html
300,Flagyl,/flagyl.html
301,Flecainide,/mtm/flecainide.html
302,Flexeril,/flexeril.html
303,Flomax,/flomax.html
304,Flonase,/flonase.html
305,Flovent,/flovent.html
306,Flovent HFA,/mtm/flovent-hfa.html
307,Fluconazole,/fluconazole.html
308,Fludrocortisone,/mtm/fludrocortisone.html
309,FluMist Vaccine,/flumist.html
310,Fluocinonide,/fluocinonide-topical.html
311,Fluorescein,/cons/fluorescein.html
312,Fluorouracil,/monograph/fluorouracil.html
313,Fluoxetine,/fluoxetine.html
314,Fluphenazine,/mtm/fluphenazine.html
315,Flutamide,/flutamide.html
316,Fluticasone,/pro/fluticasone.html
317,Fluticasone and salmeterol,/mtm/fluticasone-and-salmeterol.html
318,Fluticasone nasal,/mtm/fluticasone-nasal.html
319,Fluvoxamine,/mtm/fluvoxamine.html
320,Focalin,/focalin.html
321,Focalin XR,/mtm/focalin-xr.html
322,Folic Acid,/folic_acid.html
323,Forteo,/forteo.html
324,Fosamax,/fosamax.html
325,Fosfomycin,/mtm/fosfomycin.html
326,Fulvestrant,/fulvestrant.html
327,Furosemide,/furosemide.html
328,Fycompa,/fycompa.html
329,Gabapentin,/gabapentin.html
330,Gabapentin enacarbil,/cons/gabapentin-enacarbil.html
331,Galantamine,/mtm/galantamine.html
332,Garlic,/mtm/garlic.html
333,Gas-X,/mtm/gas-x.html
334,GaviLyte G,/pro/gavilyte-g.html
335,Gaviscon,/mtm/gaviscon.html
336,Gaviscon Extra Strength,/mtm/gaviscon-extra-strength.html
337,Gavreto,/gavreto.html
338,Gazyva,/gazyva.html
339,Gemcitabine,/mtm/gemcitabine.html
340,Gemfibrozil,/gemfibrozil.html
341,Gemtesa,/gemtesa.html
342,Genotropin,/mtm/genotropin.html
343,Gentamicin,/mtm/gentamicin.html
344,Genvoya,/genvoya.html
345,Geodon,/geodon.html
346,Giazo,/mtm/giazo.html
347,Gilenya,/gilenya.html
348,Ginger,/mtm/ginger.html
349,Ginkgo,/mtm/ginkgo.html
350,Ginkgo Biloba,/mtm/ginkgo-biloba.html
351,Ginseng,/npc/ginseng.html
352,Glatiramer,/cons/glatiramer.html
353,Gleevec,/gleevec.html
354,Glimepiride,/mtm/glimepiride.html
355,Glipizide,/glipizide.html
356,Glucagon,/glucagon.html
357,Glucophage,/glucophage.html
358,Glucosamine,/mtm/glucosamine.html
359,Glucotrol,/glucotrol.html
360,Glutathione,/npc/glutathione.html
361,Glyburide,/glyburide.html
362,Glycerin,/cons/glycerin.html
363,Glycine,/pro/glycine.html
364,Glycopyrrolate,/mtm/glycopyrrolate.html
365,Glyxambi,/glyxambi.html
366,Gocovri,/gocovri.html
367,GoLYTELY,/mtm/golytely.html
368,Gralise,/gralise.html
369,Granisetron,/mtm/granisetron.html
370,Griseofulvin,/mtm/griseofulvin.html
371,Guaifenesin,/guaifenesin.html
372,Guanfacine,/mtm/guanfacine.html
373,Gvoke HypoPen,/gvoke.html
